t_ms,frames,rms_in,gain
383.426,512,0.000000,1.0000
394.091,512,0.065139,1.0000
404.827,512,0.141949,1.0000
415.497,512,0.137781,1.0000
426.153,512,0.133971,1.0000
436.803,512,0.130665,1.0000
447.469,512,0.137890,1.0000
458.140,512,0.119761,1.0000
468.788,512,0.128535,1.0000
479.491,512,0.126073,1.0000
490.140,512,0.135055,1.0000
500.813,512,0.133462,1.0000
511.465,512,0.122388,1.0000
522.133,512,0.141288,1.0000
532.799,512,0.136763,1.0000
543.455,512,0.275019,0.8578
554.138,512,0.254960,0.7156
564.814,512,0.204744,0.5734
575.480,512,0.162256,0.4311
586.147,512,0.168117,0.2889
596.798,512,0.148142,0.2000
607.479,512,0.139766,0.2000
618.144,512,0.158445,0.2000
628.826,512,0.141556,0.2000
639.486,512,0.120652,0.2000
650.170,512,0.151881,0.2000
660.806,512,0.138371,0.2000
671.618,512,0.119329,0.2000
682.152,512,0.151311,0.2000
692.807,512,0.136588,0.2000
703.478,512,0.120818,0.2000
714.163,512,0.156816,0.2000
724.821,512,0.124997,0.2000
735.472,512,0.121890,0.2000
746.141,512,0.146056,0.2000
756.830,512,0.120710,0.2000
767.477,512,0.119394,0.2000
778.145,512,0.133877,0.2000
788.829,512,0.137099,0.2000
799.478,512,0.113810,0.2000
810.151,512,0.131394,0.2000
820.823,512,0.125894,0.2000
831.475,512,0.128428,0.2000
842.152,512,0.131192,0.2000
852.836,512,0.136772,0.2000
863.473,512,0.126454,0.2000
874.155,512,0.127102,0.2000
884.804,512,0.119897,0.2000
895.473,512,0.125742,0.2000
906.154,512,0.111429,0.2000
916.810,512,0.111899,0.2000
927.485,512,0.136562,0.2000
938.153,512,0.117107,0.2000
948.803,512,0.124665,0.2000
959.472,512,0.156267,0.2000
970.142,512,0.126419,0.2000
980.838,512,0.139443,0.2000
991.478,512,0.161065,0.2000
1002.149,512,0.125721,0.2000
1012.821,512,0.128704,0.2000
1023.474,512,0.139522,0.2000
1034.138,512,0.115581,0.2000
1044.784,512,0.123697,0.2000
1055.463,512,0.143408,0.2000
1066.128,512,0.127693,0.2000
1076.816,512,0.126895,0.2000
1087.462,512,0.157566,0.2000
1098.133,512,0.127795,0.2000
1108.801,512,0.124530,0.2000
1119.471,512,0.144318,0.2000
1130.130,512,0.115471,0.2000
1140.869,512,0.106505,0.2000
1151.452,512,0.139984,0.2000
1162.128,512,0.110514,0.2000
1172.843,512,0.105765,0.2000
1183.450,512,0.117484,0.2000
1194.139,512,0.124718,0.2000
1204.780,512,0.108201,0.2000
1215.452,512,0.117526,0.2000
1226.171,512,0.110351,0.2000
1236.787,512,0.131502,0.2000
1247.463,512,0.141715,0.2000
1258.124,512,0.138366,0.2000
1268.808,512,0.135897,0.2000
1279.453,512,0.114460,0.2000
1290.108,512,0.129309,0.2000
1300.777,512,0.124865,0.2000
1311.475,512,0.108187,0.2000
1322.113,512,0.110665,0.2000
1332.774,512,0.173330,0.2000
1343.445,512,0.421898,0.2000
1354.125,512,0.576294,0.2000
1364.775,512,0.564785,0.2000
1375.475,512,0.493961,0.2000
1386.119,512,0.521029,0.2000
1396.797,512,0.394005,0.2000
1407.454,512,0.309143,0.2000
1418.138,512,0.252391,0.2000
1428.800,512,0.188850,0.2000
1439.443,512,0.182614,0.2000
1450.110,512,0.196991,0.2000
1460.770,512,0.206762,0.2000
1471.482,512,0.252516,0.2000
1482.111,512,0.211818,0.2000
1492.779,512,0.210874,0.2000
1503.454,512,0.202140,0.2000
1514.114,512,0.177813,0.2000
