t_ms,frames,rms_in,gain
134.016,512,0.000000,1.0000
144.683,512,0.000000,1.0000
155.376,512,0.000000,1.0000
166.031,512,0.009213,1.0000
176.676,512,0.011377,1.0000
187.365,512,0.014259,1.0000
198.042,512,0.012135,1.0000
208.714,512,0.014794,1.0000
219.392,512,0.012123,1.0000
230.055,512,0.009312,1.0000
240.728,512,0.010186,1.0000
251.428,512,0.009132,1.0000
262.112,512,0.007300,1.0000
272.710,512,0.008723,1.0000
283.425,512,0.007027,1.0000
294.075,512,0.016979,0.8578
304.758,512,0.028144,0.7156
315.374,512,0.013509,0.5734
326.044,512,0.017228,0.4311
336.772,512,0.022504,0.2889
347.462,512,0.028206,0.2000
358.109,512,0.028658,0.2000
368.744,512,0.029906,0.2000
379.358,512,0.026019,0.2000
390.032,512,0.023418,0.2000
400.755,512,0.016166,0.2000
411.409,512,0.021164,0.2000
422.055,512,0.024863,0.2000
432.682,512,0.025345,0.2000
443.395,512,0.027402,0.2000
454.018,512,0.024767,0.2000
464.717,512,0.017982,0.2000
475.354,512,0.014208,0.2000
486.027,512,0.009256,0.2000
496.737,512,0.010598,0.2000
507.363,512,0.016833,0.2000
518.070,512,0.017591,0.2000
528.810,512,0.020714,0.2000
539.415,512,0.019040,0.2000
550.142,512,0.016646,0.2000
560.731,512,0.015455,0.2000
571.378,512,0.014226,0.2000
582.027,512,0.011418,0.2000
592.741,512,0.014180,0.2000
603.429,512,0.015093,0.2000
614.067,512,0.016373,0.2000
624.728,512,0.016951,0.2000
635.455,512,0.015305,0.2000
646.148,512,0.014327,0.2000
656.737,512,0.010090,0.2000
667.450,512,0.008172,0.2000
678.042,512,0.009184,0.2000
688.704,512,0.009501,0.2000
699.374,512,0.009476,0.2000
710.013,512,0.012750,0.2000
720.723,512,0.012616,0.2000
731.383,512,0.014224,0.2000
742.053,512,0.014548,0.2000
752.740,512,0.010728,0.2000
763.373,512,0.014936,0.2000
774.042,512,0.013516,0.2000
784.756,512,0.012384,0.2000
795.457,512,0.014831,0.2000
806.075,512,0.013388,0.2000
816.750,512,0.013584,0.2000
827.428,512,0.011223,0.2000
838.047,512,0.009498,0.2000
848.710,512,0.009981,0.2000
859.460,512,0.009621,0.2000
870.099,512,0.007917,0.2000
880.754,512,0.009241,0.2000
891.423,512,0.007618,0.2000
902.105,512,0.009222,0.2000
912.802,512,0.008178,0.2000
923.400,512,0.007439,0.2000
934.120,512,0.013191,0.2000
944.777,512,0.014499,0.2000
955.438,512,0.017314,0.2000
966.053,512,0.016351,0.2000
976.721,512,0.015186,0.2000
987.373,512,0.014043,0.2000
998.022,512,0.011737,0.2000
1008.746,512,0.011919,0.2000
1019.388,512,0.012873,0.2000
1030.092,512,0.010217,0.2000
1040.713,512,0.011831,0.2000
1051.396,512,0.009909,0.2000
1062.082,512,0.011070,0.2000
1072.702,512,0.011219,0.2000
1083.472,512,0.010187,0.2000
1094.101,512,0.010911,0.2000
1104.717,512,0.012192,0.2000
1115.350,512,0.009509,0.2000
1126.047,512,0.007590,0.2000
1136.730,512,0.007238,0.2000
1147.430,512,0.007681,0.2000
1158.066,512,0.007439,0.2000
1168.779,512,0.008159,0.2000
1179.389,512,0.012076,0.2000
1190.082,512,0.009849,0.2000
1200.761,512,0.010814,0.2000
1211.416,512,0.010196,0.2000
1222.100,512,0.010947,0.2000
1232.741,512,0.007969,0.2000
1243.419,512,0.008975,0.2000
1254.039,512,0.007796,0.2000
1264.760,512,0.010392,0.2000
1275.418,512,0.007485,0.2000
1286.092,512,0.005682,0.2000
1296.791,512,0.004694,0.2000
1307.491,512,0.003630,0.2000
1318.129,512,0.005258,0.2000
1328.814,512,0.004372,0.2000
1339.385,512,0.003893,0.2000
1350.104,512,0.005934,0.2000
1360.778,512,0.007372,0.2000
1371.389,512,0.028935,0.2000
1382.037,512,0.018782,0.2000
1392.727,512,0.017281,0.2000
1403.416,512,0.018888,0.2000
1414.122,512,0.024210,0.2000
1424.773,512,0.028841,0.2000
1435.452,512,0.028789,0.2000
1446.112,512,0.028336,0.2000
1456.759,512,0.025015,0.2000
1467.393,512,0.020838,0.2000
1478.061,512,0.020619,0.2000
1488.762,512,0.021219,0.2000
1499.411,512,0.026166,0.2000
1510.044,512,0.027012,0.2000
1520.724,512,0.027410,0.2000
1531.418,512,0.022886,0.2000
1542.055,512,0.015316,0.2000
1552.745,512,0.008607,0.2000
1563.434,512,0.008894,0.2000
1574.074,512,0.010451,0.2000
1584.747,512,0.017396,0.2000
1595.417,512,0.018866,0.2000
1606.106,512,0.021527,0.2000
1616.797,512,0.018710,0.2000
1627.433,512,0.015140,0.2000
1638.069,512,0.011149,0.2000
1648.724,512,0.010414,0.2000
1659.444,512,0.011954,0.2000
1670.076,512,0.012532,0.2000
1680.710,512,0.015436,0.2000
1691.360,512,0.016410,0.2000
1702.058,512,0.013977,0.2000
1712.767,512,0.013522,0.2000
1723.404,512,0.009514,0.2000
1734.096,512,0.010565,0.2000
1744.744,512,0.008235,0.2000
1755.379,512,0.009175,0.2000
1766.049,512,0.011690,0.2000
1776.703,512,0.012624,0.2000
1787.414,512,0.009829,0.2000
1798.097,512,0.016320,0.2000
1808.775,512,0.016536,0.2000
1819.382,512,0.017289,0.2000
1830.030,512,0.015235,0.2000
1840.699,512,0.014652,0.2000
1851.394,512,0.016228,0.2000
1862.061,512,0.012386,0.2000
1872.668,512,0.010929,0.2000
1883.378,512,0.011181,0.2000
1894.038,512,0.009245,0.2000
1904.692,512,0.010060,0.2000
1915.372,512,0.008751,0.2000
1926.029,512,0.009472,0.2000
1936.685,512,0.010120,0.2000
1947.356,512,0.009570,0.2000
1958.028,512,0.007279,0.2000
1968.704,512,0.008637,0.2000
1979.355,512,0.015233,0.2000
1990.065,512,0.012497,0.2000
2000.697,512,0.013376,0.2000
2011.374,512,0.024269,0.2000
2022.048,512,0.022060,0.2000
2032.848,512,0.017085,0.2000
2043.388,512,0.021003,0.2000
2054.064,512,0.024462,0.2000
2064.768,512,0.027558,0.2000
2075.474,512,0.030377,0.2000
2086.060,512,0.027502,0.2000
2096.741,512,0.027599,0.2000
2107.412,512,0.022226,0.2000
2118.093,512,0.020291,0.2000
2128.739,512,0.022167,0.2000
2139.509,512,0.024124,0.2000
2150.132,512,0.026260,0.2000
2160.787,512,0.025969,0.2000
2171.402,512,0.024453,0.2000
2182.018,512,0.019540,0.2000
2192.805,512,0.012636,0.2000
2203.437,512,0.011156,0.2000
2214.138,512,0.010540,0.2000
2224.744,512,0.014692,0.2000
2235.466,512,0.019205,0.2000
2246.106,512,0.017356,0.2000
2256.751,512,0.018933,0.2000
2267.427,512,0.017262,0.2000
2278.151,512,0.010391,0.2000
2288.738,512,0.012050,0.2000
2299.409,512,0.009047,0.2000
2310.095,512,0.011824,0.2000
2320.698,512,0.014809,0.2000
2331.476,512,0.014008,0.2000
2342.090,512,0.014945,0.2000
2352.763,512,0.014139,0.2000
2363.400,512,0.010603,0.2000
2374.056,512,0.009639,0.2000
2384.788,512,0.010371,0.2000
2395.449,512,0.008622,0.2000
2406.069,512,0.010734,0.2000
2416.820,512,0.009581,0.2000
2427.505,512,0.011911,0.2000
2438.099,512,0.010782,0.2000
2448.726,512,0.010003,0.2000
2459.431,512,0.011410,0.2000
2470.101,512,0.010844,0.2000
2480.732,512,0.008876,0.2000
2491.383,512,0.009790,0.2000
2502.106,512,0.008196,0.2000
2512.747,512,0.010839,0.2000
2523.431,512,0.009646,0.2000
2534.091,512,0.008445,0.2000
2544.773,512,0.009756,0.2000
2555.414,512,0.009592,0.2000
2566.139,512,0.007589,0.2000
2576.722,512,0.009426,0.2000
2587.383,512,0.008057,0.2000
2598.078,512,0.008761,0.2000
2608.743,512,0.008010,0.2000
2619.409,512,0.007310,0.2000
2630.139,512,0.008955,0.2000
2640.751,512,0.008488,0.2000
2651.442,512,0.013099,0.2000
2662.113,512,0.015149,0.2000
2672.762,512,0.013825,0.2000
2683.397,512,0.013972,0.2000
2694.093,512,0.012865,0.2000
2704.714,512,0.010957,0.2000
2715.373,512,0.009785,0.2000
2726.128,512,0.009014,0.2000
2736.784,512,0.007758,0.2000
2747.490,512,0.008192,0.2000
2758.108,512,0.008171,0.2000
2768.791,512,0.007262,0.2000
2779.484,512,0.007128,0.2000
2790.087,512,0.006670,0.2000
2800.802,512,0.007211,0.2000
2811.501,512,0.006043,0.2000
2822.083,512,0.005388,0.2000
2832.762,512,0.006427,0.2000
2843.413,512,0.006175,0.2000
2854.086,512,0.005362,0.2000
2864.801,512,0.005890,0.2000
2875.380,512,0.007235,0.2000
2886.057,512,0.008082,0.2000
2896.704,512,0.008074,0.2000
2907.369,512,0.006524,0.2000
2918.044,512,0.006612,0.2000
2928.700,512,0.005704,0.2000
2939.370,512,0.004984,0.2000
2950.048,512,0.005330,0.2000
2960.691,512,0.005375,0.2000
2971.359,512,0.004744,0.2000
2982.043,512,0.003759,0.2000
2992.697,512,0.003426,0.2000
3003.358,512,0.003222,0.2000
3014.030,512,0.002393,0.2000
3024.696,512,0.001922,0.2000
3035.361,512,0.001656,0.2000
3046.028,512,0.001360,0.2000
3056.699,512,0.000966,0.2000
3067.368,512,0.000963,0.2000
3078.042,512,0.015083,0.2000
3088.701,512,0.028172,0.2000
3099.384,512,0.014903,0.2000
3110.037,512,0.016974,0.2000
3120.691,512,0.024750,0.2000
3131.351,512,0.027038,0.2000
3142.039,512,0.025793,0.2000
3152.707,512,0.028536,0.2000
3163.371,512,0.025088,0.2000
3174.080,512,0.023583,0.2000
