t_ms,frames,rms_in,gain
171.711,512,0.000000,1.0000
182.323,512,0.065684,1.0000
193.357,512,0.110934,1.0000
203.652,512,0.107829,1.0000
214.315,512,0.124892,1.0000
224.988,512,0.106934,1.0000
235.693,512,0.109818,1.0000
246.334,512,0.122168,1.0000
257.022,512,0.112208,1.0000
267.681,512,0.099528,1.0000
278.310,512,0.126223,1.0000
289.010,512,0.114270,1.0000
299.655,512,0.102417,1.0000
310.375,512,0.120144,1.0000
320.985,512,0.118962,1.0000
331.671,512,0.096150,1.0000
342.342,512,0.122265,1.0000
352.968,512,0.119377,1.0000
363.659,512,0.097761,1.0000
374.322,512,0.121298,1.0000
385.057,512,0.114373,1.0000
395.657,512,0.095271,1.0000
406.334,512,0.120218,1.0000
416.958,512,0.114682,1.0000
427.689,512,0.096917,1.0000
438.302,512,0.120080,1.0000
449.038,512,0.112808,1.0000
459.690,512,0.097023,1.0000
470.297,512,0.116713,1.0000
481.070,512,0.113340,1.0000
491.731,512,0.099030,1.0000
502.308,512,0.113482,1.0000
513.061,512,0.111835,1.0000
523.694,512,0.101523,1.0000
534.455,512,0.109002,1.0000
544.997,512,0.111526,1.0000
555.684,512,0.101286,1.0000
566.307,512,0.102859,1.0000
576.955,512,0.115415,1.0000
587.683,512,0.104767,1.0000
598.312,512,0.105599,1.0000
608.990,512,0.100414,1.0000
619.654,512,0.118130,1.0000
630.316,512,0.102292,1.0000
640.962,512,0.098913,1.0000
651.658,512,0.116903,1.0000
662.321,512,0.107991,1.0000
672.984,512,0.090602,1.0000
683.607,512,0.122316,1.0000
694.310,512,0.101182,1.0000
704.941,512,0.090841,1.0000
715.657,512,0.117520,1.0000
726.322,512,0.107898,1.0000
737.026,512,0.085552,1.0000
747.695,512,0.122235,1.0000
758.333,512,0.107384,1.0000
769.010,512,0.087740,1.0000
779.695,512,0.118328,1.0000
790.340,512,0.106875,1.0000
801.052,512,0.084297,1.0000
811.631,512,0.113933,1.0000
822.359,512,0.101182,1.0000
833.024,512,0.089352,1.0000
843.664,512,0.115261,1.0000
854.299,512,0.102532,1.0000
864.995,512,0.088236,1.0000
875.678,512,0.116139,1.0000
886.359,512,0.104004,1.0000
896.975,512,0.089880,1.0000
907.666,512,0.106115,1.0000
918.321,512,0.103491,1.0000
928.992,512,0.095498,1.0000
939.664,512,0.101296,1.0000
