t_ms,frames,rms_in,gain
116.109,512,0.000000,1.0000
126.803,512,0.000000,1.0000
137.434,512,0.000000,1.0000
148.119,512,0.015444,1.0000
158.790,512,0.016015,1.0000
169.452,512,0.019708,1.0000
180.142,512,0.023796,1.0000
190.831,512,0.011115,1.0000
201.463,512,0.026626,1.0000
212.199,512,0.007552,1.0000
222.803,512,0.019370,1.0000
233.518,512,0.035948,1.0000
244.135,512,0.010448,1.0000
254.816,512,0.027230,1.0000
265.466,512,0.032597,1.0000
276.137,512,0.014219,1.0000
286.821,512,0.023056,1.0000
297.493,512,0.010215,1.0000
308.139,512,0.009491,1.0000
318.800,512,0.008960,1.0000
329.507,512,0.010363,1.0000
340.120,512,0.014989,1.0000
350.849,512,0.015173,1.0000
361.583,512,0.016115,1.0000
372.221,512,0.015889,1.0000
382.794,512,0.017448,1.0000
393.520,512,0.015763,1.0000
404.199,512,0.015707,1.0000
414.819,512,0.012146,1.0000
425.500,512,0.012978,1.0000
436.217,512,0.010295,1.0000
446.824,512,0.011660,1.0000
457.467,512,0.009678,1.0000
468.144,512,0.010723,1.0000
478.821,512,0.009358,1.0000
489.456,512,0.008999,1.0000
500.099,512,0.008667,1.0000
510.871,512,0.008495,1.0000
521.524,512,0.010476,1.0000
532.188,512,0.008687,1.0000
542.838,512,0.012607,1.0000
553.446,512,0.024058,1.0000
564.165,512,0.074446,1.0000
574.801,512,0.043121,1.0000
585.463,512,0.051928,1.0000
596.143,512,0.052842,1.0000
606.778,512,0.053464,1.0000
617.434,512,0.046826,1.0000
628.114,512,0.043194,1.0000
638.756,512,0.048566,1.0000
649.428,512,0.029662,1.0000
660.105,512,0.035667,1.0000
670.785,512,0.033600,1.0000
681.454,512,0.031067,1.0000
692.108,512,0.041842,1.0000
702.763,512,0.016694,1.0000
713.456,512,0.041573,1.0000
724.085,512,0.021390,1.0000
734.824,512,0.024814,1.0000
745.437,512,0.027670,1.0000
756.140,512,0.021280,1.0000
766.793,512,0.021015,1.0000
777.437,512,0.023143,1.0000
788.104,512,0.018649,1.0000
798.811,512,0.021979,1.0000
809.454,512,0.017467,1.0000
820.097,512,0.018922,1.0000
830.834,512,0.015420,1.0000
841.479,512,0.014129,1.0000
852.100,512,0.014038,1.0000
862.765,512,0.010982,1.0000
873.519,512,0.012635,1.0000
884.112,512,0.012698,1.0000
894.800,512,0.010874,1.0000
905.438,512,0.011763,1.0000
916.109,512,0.010127,1.0000
926.789,512,0.009876,1.0000
937.429,512,0.010190,1.0000
948.104,512,0.008348,1.0000
958.761,512,0.010363,1.0000
969.421,512,0.008338,1.0000
980.120,512,0.011486,1.0000
990.862,512,0.008919,1.0000
1001.423,512,0.013451,1.0000
1012.162,512,0.010187,1.0000
1022.780,512,0.013794,1.0000
1033.450,512,0.013718,1.0000
1044.121,512,0.016013,1.0000
1054.768,512,0.014074,1.0000
1065.424,512,0.014121,1.0000
1076.094,512,0.013135,1.0000
1086.760,512,0.011917,1.0000
1097.513,512,0.013251,1.0000
1108.169,512,0.012529,1.0000
1118.768,512,0.011673,1.0000
1129.445,512,0.010039,1.0000
1140.098,512,0.011420,1.0000
1150.752,512,0.008404,1.0000
1161.415,512,0.011786,1.0000
1172.098,512,0.007493,1.0000
1182.763,512,0.011370,1.0000
1193.423,512,0.010952,1.0000
1204.100,512,0.017081,1.0000
1214.786,512,0.015669,1.0000
1225.515,512,0.018418,1.0000
1236.158,512,0.016478,1.0000
1246.803,512,0.015258,1.0000
1257.464,512,0.015217,1.0000
1268.087,512,0.013347,1.0000
1278.796,512,0.016275,1.0000
1289.413,512,0.010783,1.0000
1300.107,512,0.012597,1.0000
1310.752,512,0.010420,1.0000
1321.433,512,0.013317,1.0000
1332.093,512,0.009990,1.0000
1342.757,512,0.012650,1.0000
1353.417,512,0.010114,1.0000
1364.083,512,0.009578,1.0000
1374.746,512,0.007731,1.0000
1385.412,512,0.008785,1.0000
1396.079,512,0.007555,1.0000
1406.758,512,0.008641,1.0000
1417.413,512,0.007333,1.0000
1428.074,512,0.008895,1.0000
1438.740,512,0.009348,1.0000
1449.434,512,0.009040,1.0000
1460.084,512,0.009163,1.0000
1470.769,512,0.009036,1.0000
1481.420,512,0.009564,1.0000
1492.112,512,0.007839,1.0000
1502.751,512,0.008946,1.0000
1513.442,512,0.006588,1.0000
1524.077,512,0.007822,1.0000
1534.737,512,0.007026,1.0000
1545.402,512,0.006776,1.0000
1556.068,512,0.007280,1.0000
1566.814,512,0.007657,1.0000
1577.438,512,0.007868,1.0000
1588.072,512,0.006973,1.0000
1598.813,512,0.005461,1.0000
1609.454,512,0.004458,1.0000
1620.101,512,0.005331,1.0000
1630.739,512,0.030813,1.0000
1641.407,512,0.018541,1.0000
1652.091,512,0.020293,1.0000
1662.732,512,0.026019,1.0000
1673.410,512,0.031543,1.0000
1684.148,512,0.025379,1.0000
1694.729,512,0.028855,1.0000
1705.414,512,0.030746,1.0000
1716.069,512,0.023256,1.0000
1726.738,512,0.030451,1.0000
1737.434,512,0.032051,1.0000
1748.128,512,0.027921,1.0000
1758.773,512,0.031525,1.0000
1769.414,512,0.023341,1.0000
1780.078,512,0.030791,1.0000
1790.750,512,0.027022,1.0000
1801.486,512,0.023153,1.0000
1812.078,512,0.025424,1.0000
1822.740,512,0.030036,1.0000
1833.402,512,0.018313,1.0000
1844.075,512,0.022706,1.0000
1854.739,512,0.016298,1.0000
1865.452,512,0.012054,1.0000
1876.072,512,0.018188,1.0000
1886.726,512,0.010981,1.0000
1897.410,512,0.017550,1.0000
1908.073,512,0.010440,1.0000
1918.732,512,0.009963,1.0000
1929.400,512,0.013470,1.0000
1940.089,512,0.015446,1.0000
1950.730,512,0.010142,1.0000
1961.484,512,0.010375,1.0000
1972.061,512,0.010561,1.0000
1982.735,512,0.022967,1.0000
1993.411,512,0.065158,1.0000
2004.076,512,0.084155,1.0000
2014.736,512,0.072987,1.0000
2025.391,512,0.062213,1.0000
2036.064,512,0.039324,1.0000
2046.750,512,0.015333,1.0000
2057.397,512,0.016266,1.0000
2068.122,512,0.016341,1.0000
2078.768,512,0.016544,1.0000
2089.400,512,0.015290,1.0000
2100.069,512,0.014615,1.0000
2110.718,512,0.015347,1.0000
2121.445,512,0.020311,1.0000
2132.078,512,0.030511,1.0000
2142.776,512,0.040565,1.0000
2153.408,512,0.073887,1.0000
2164.078,512,0.081708,1.0000
2174.705,512,0.069744,1.0000
2185.384,512,0.057338,1.0000
2196.079,512,0.030404,1.0000
2206.729,512,0.022485,1.0000
2217.376,512,0.010537,1.0000
2228.132,512,0.022993,1.0000
2238.788,512,0.017405,1.0000
2249.396,512,0.021399,1.0000
2260.090,512,0.017867,1.0000
2270.718,512,0.023831,1.0000
2281.514,512,0.032139,1.0000
2292.094,512,0.016704,1.0000
2302.727,512,0.020549,1.0000
2313.435,512,0.034244,1.0000
2324.060,512,0.081199,1.0000
2334.725,512,0.097709,1.0000
2345.392,512,0.109645,1.0000
2356.070,512,0.119755,1.0000
